ID,Company,Model,Segment,Predictia modelului
439,LAMBORGHINI,2023 Lamborghini Urus S,Medium SUV,Medium SUV
440,BMW,BMW X3 M (F97) (2019-Present),Medium SUV,Medium SUV
441,BMW,BMW X3 (2021-Present),Medium SUV,Medium SUV
442,RENAULT,2024 Renault Arkana,Medium SUV,Crossover
443,LAMBORGHINI,LAMBORGHINI Urus (2018-Present),Medium SUV,Medium SUV
444,SKODA,SKODA Karoq (2021-Present),Medium SUV,Crossover
445,LAND ROVER,2018 Land Rover Range Rover Velar,Medium SUV,Medium SUV
446,LAND ROVER,2020 Land Rover Defender 110,Medium SUV,Large SUV
447,BMW,BMW X3 (2021-Present),Medium SUV,Medium SUV
448,BMW,BMW X3 (2021-Present),Medium SUV,Medium SUV
449,RENAULT,2024 Renault Arkana,Medium SUV,Compact
450,KIA,KIA Borrego (2009-Present),Medium SUV,Large SUV
451,MASERATI,2016 Maserati Levante,Medium SUV,Medium SUV
452,MERCEDES BENZ,2020 Mercedes-Benz GLE,Medium SUV,Large SUV
453,RENAULT,2019 Renault Koleos,Medium SUV,Crossover
454,MASERATI,2016 Maserati Levante,Medium SUV,Large SUV
455,ALFA ROMEO,2023 Alfa Romeo Stelvio,Medium SUV,Medium SUV
456,ALFA ROMEO,2023 Alfa Romeo Stelvio,Medium SUV,Medium SUV
457,KIA,KIA Borrego (2009-Present),Medium SUV,Premium SUV
458,MERCEDES BENZ,2020 Mercedes-Benz GLC Coupe,Medium SUV,Crossover
459,BMW,BMW X4 (2021-Present),Medium SUV,Medium SUV
460,BMW,BMW X4 (2021-Present),Medium SUV,Medium SUV
461,MERCEDES BENZ,2020 Mercedes-Benz GLC Coupe,Medium SUV,Crossover
462,BMW,BMW X3 (2021-Present),Medium SUV,Medium SUV
463,LAND ROVER,2020 Land Rover Defender 110,Medium SUV,Large SUV
464,MERCEDES BENZ,2020 Mercedes-Benz GLB,Medium SUV,Medium SUV
465,BMW,BMW X4 (2021-Present),Medium SUV,Medium SUV
499,OPEL,OPEL Insignia Hatchback (2013-Present),Medium,Medium
500,TOYOTA,TOYOTA Avensis (2015-Present),Medium,Compact
501,VOLKSWAGEN,2020 Volkswagen Passat Variant,Medium,Medium
502,MERCEDES BENZ,MERCEDES BENZ E-Class T-Modell (S213) (2016-Present),Medium,Medium Premium
503,VOLKSWAGEN,VOLKSWAGEN Passat (2019-Present),Medium,Medium
504,CITROEN,CITROEN DS4 (2010-Present),Medium,Compact
505,JAGUAR,JAGUAR XF (2015-Present),Medium,Large
506,AUDI,AUDI A5 Sportback (2011-Present),Medium,Medium
507,OPEL,OPEL Insignia Hatchback (2013-Present),Medium,Medium
508,AUDI,AUDI A6 (2018-Present),Medium,Lower Premium
509,VOLVO,VOLVO V60 (2018-Present),Medium,Medium
510,AUDI,AUDI A5 Sportback (2019-Present),Medium,Medium
511,ALFA ROMEO,2016 Alfa Romeo Giulia Quadrifoglio,Medium,Coupe
512,SEAT,SEAT Leon X-Perience (2014-Present),Medium,Compact
513,KIA,KIA Optima Sportswagon (2018-Present),Medium,Medium
514,OPEL,OPEL Insignia Sports Tourer (2017-Present),Medium,Medium
515,HYUNDAI,HYUNDAI i30 Coupe (2012-Present),Medium,Compact
516,OPEL,OPEL Insignia Sports Tourer GSi (2017-Present),Medium,Medium
517,AUDI,AUDI A5 Sportback (2019-Present),Medium,Medium
518,VOLVO,VOLVO V60 (2018-Present),Medium,Medium
519,AUDI,AUDI A5 Sportback (2011-Present),Medium,Medium
520,AUDI,AUDI A5 Sportback (2011-Present),Medium,Medium
521,MERCEDES BENZ,MERCEDES BENZ E-Class T-Modell (S213) (2016-Present),Medium,Medium Premium
522,VOLVO,VOLVO V60 (2018-Present),Medium,Medium
523,CITROEN,CITROEN DS4 (2010-Present),Medium,Compact
524,CITROEN,CITROEN DS4 (2010-Present),Medium,Compact
525,OPEL,OPEL Insignia Sports Tourer (2017-Present),Medium,Large
526,VOLKSWAGEN,VOLKSWAGEN Passat Alltrack (2019-Present),Medium,Medium
527,AUDI,AUDI A5 Sportback (2011-Present),Medium,Medium
528,MERCEDES BENZ,MERCEDES BENZ E-Class T-Modell (S213) (2016-Present),Medium,Medium Premium
529,AUDI,AUDI A5 Sportback (2011-Present),Medium,Medium
530,KIA,KIA Optima Sportswagon (2018-Present),Medium,Medium
531,OPEL,OPEL Insignia Hatchback (2013-Present),Medium,Medium
532,AUDI,AUDI A6 (2018-Present),Medium,Lower Premium
533,AUDI,AUDI A5 Sportback (2011-Present),Medium,Medium
534,VOLKSWAGEN,VOLKSWAGEN Passat (2019-Present),Medium,Medium
535,AUDI,AUDI A6 (2018-Present),Medium,Lower Premium
536,VOLVO,VOLVO V60 (2018-Present),Medium,Medium
537,JAGUAR,JAGUAR XF (2015-Present),Medium,Large
538,AUDI,AUDI A5 Sportback (2019-Present),Medium,Medium
539,JAGUAR,JAGUAR XF (2015-Present),Medium,Medium
540,OPEL,OPEL Insignia Hatchback (2013-Present),Medium,Medium
541,HYUNDAI,HYUNDAI i30 Coupe (2012-Present),Medium,Compact
542,AUDI,AUDI RS5 Sportback (2019-Present),Medium,Medium Premium
543,HYUNDAI,HYUNDAI i30 Coupe (2012-Present),Medium,Compact
544,MERCEDES BENZ,2024 Mercedes-Benz E-Class Estate,Medium,Medium
545,VOLVO,VOLVO V60 (2018-Present),Medium,Medium
546,VOLVO,VOLVO V60 Cross Country (2018-Present),Medium,Lower Premium
547,HYUNDAI,HYUNDAI i30 Coupe (2012-Present),Medium,Compact
548,AUDI,AUDI A6 (2018-Present),Medium,Lower Premium
549,VOLVO,VOLVO V60 (2018-Present),Medium,Medium
550,KIA,KIA Optima Sportswagon (2018-Present),Medium,Large
551,KIA,KIA Optima Sportswagon (2018-Present),Medium,Large
552,SEAT,SEAT Leon X-Perience (2014-Present),Medium,Compact
553,JAGUAR,JAGUAR XF (2015-Present),Medium,Luxury
554,OPEL,OPEL Insignia Hatchback (2013-Present),Medium,Medium
555,AUDI,AUDI A5 Sportback (2011-Present),Medium,Medium
556,OPEL,OPEL Insignia Hatchback (2013-Present),Medium,Medium
