ID,Company,Model,Segment,Fuel,Power(HP),Torque(Nm),Displacement,Length,Width,Height,Wheelbase,Cargo Volume,Unladen Weight,Top Speed,Acceleration 0-62 Mph (0-100 kph),Combined mpg,Fuel capacity,Partition
97,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Diesel,150.0,320.0,1995.0,170.4,69.5,55.9,105.9,12.7,3142.0,132.0,8.3,58.8,13.7,Antrenament
98,KIA,2012 Kia cee'd Sportswagon,Compact,Gasoline,101.0,137.0,1396.0,177.4,70.1,58.5,104.3,18.6,2884.0,112.0,13.5,36.2,14.0,Antrenament
99,AUDI,AUDI A3 Sportback (2020-Present),Compact,Mild Hybrid,150.0,250.0,1498.0,171.0,71.5,57.0,103.8,13.4,2910.0,139.0,8.4,47.0,13.2,Antrenament
100,VOLKSWAGEN,VOLKSWAGEN Scirocco (2014-Present),Compact,Diesel,150.0,340.0,1968.0,167.6,71.3,55.4,101.5,11.0,3075.0,132.0,8.6,52.3,14.5,Antrenament
101,FIAT,FIAT Tipo / Egea (2015-Present),Compact,Diesel,95.0,200.0,1248.0,178.4,70.6,58.9,103.8,18.4,2657.0,112.0,11.7,56.0,11.9,Antrenament
102,RENAULT,RENAULT Captur (2019-Present),Compact,Gasoline,140.0,260.0,1333.0,166.4,70.7,62.0,103.9,18.9,3016.0,122.0,9.2,39.9,12.7,Antrenament
103,HOLDEN,HOLDEN Cruze (2008-Present),Compact,Gasoline,141.0,175.0,1796.0,181.0,70.4,58.1,105.7,14.1,2789.0,124.0,10.0,39.2,15.9,Antrenament
104,OPEL,2020 Opel Corsa,Compact,Gasoline,75.0,205.0,1199.0,159.8,77.2,56.5,99.9,10.9,2161.0,108.0,13.2,57.4,10.8,Antrenament
105,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Gasoline,136.0,220.0,1499.0,170.4,69.5,55.9,105.9,12.7,3064.0,130.0,8.7,49.0,13.7,Antrenament
106,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Diesel,190.0,400.0,1995.0,170.4,69.5,55.9,105.9,12.7,3362.0,138.0,6.8,54.7,13.7,Antrenament
107,CITROEN,CITROEN DS5 (2011-Present),Compact,Hybrid Diesel,163.0,300.0,1997.0,178.3,73.7,59.2,107.4,16.4,3825.0,131.0,8.6,69.2,15.9,Antrenament
108,KIA,2012 Kia cee'd Sportswagon,Compact,Gasoline,135.0,165.0,1591.0,177.4,70.1,58.5,104.3,18.6,2901.0,119.0,10.2,39.2,14.0,Antrenament
109,SEAT,SEAT Ibiza 5 Doors (2021-Present),Compact,Gasoline,80.0,93.0,999.0,159.8,70.1,56.9,100.9,12.5,2260.0,106.0,15.3,43.6,10.6,Antrenament
110,SKODA,2019 Skoda Scala,Compact,Gasoline,150.0,250.0,1498.0,171.7,70.6,57.9,104.3,16.5,2575.0,137.0,8.2,49.0,10.6,Antrenament
111,RENAULT,RENAULT Captur (2019-Present),Compact,Gasoline,91.0,160.0,999.0,166.4,70.7,62.0,103.9,18.9,2776.0,104.0,14.0,40.6,12.7,Antrenament
112,KIA,2012 Kia cee'd Sportswagon,Compact,Diesel,90.0,201.0,1396.0,177.4,70.1,58.5,104.3,18.6,3111.0,106.0,13.9,52.3,14.0,Antrenament
113,CHEVROLET,CHEVROLET Cruze HB5 (2011-Present),Compact,Gasoline,141.0,176.0,1796.0,177.7,70.7,58.1,105.7,14.6,3073.0,118.0,11.3,33.0,15.9,Antrenament
114,AUDI,AUDI A3 Sedan (2020-Present),Compact,Diesel,150.0,360.0,1968.0,177.0,71.5,56.1,103.8,15.0,3120.0,144.0,8.4,60.3,13.2,Antrenament
115,DS AUTOMOBILES,DS AUTOMOBILES DS 5 (2016-Present),Compact,Gasoline,210.0,285.0,1598.0,178.3,73.7,59.3,107.4,16.5,3153.0,146.0,8.8,37.9,15.9,Antrenament
116,OPEL,2022 Opel Astra Sport Tourer,Compact,Diesel,130.0,300.0,1498.0,182.8,73.2,58.3,107.6,21.1,3075.0,130.0,10.8,53.5,13.7,Antrenament
117,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Diesel,190.0,400.0,1995.0,170.4,69.5,55.9,105.9,12.7,3186.0,142.0,7.1,57.4,13.7,Antrenament
118,BMW,BMW 2 Series Gran Tourer (F46) (2018-Present),Compact,Gasoline,140.0,220.0,1499.0,179.8,70.9,63.3,109.4,22.8,3285.0,127.0,9.5,39.2,13.5,Antrenament
119,ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),Compact,Diesel,150.0,380.0,1956.0,171.3,70.8,57.7,103.7,12.4,3075.0,130.0,8.8,56.0,15.9,Antrenament
120,NISSAN,NISSAN Primera Sedan (2002-Present),Compact,Diesel,120.0,270.0,1870.0,179.9,69.3,58.3,105.5,15.9,3060.0,121.0,10.8,41.3,16.4,Antrenament
121,SKODA,SKODA Rapid Spaceback (2013-Present),Compact,Gasoline,122.0,201.0,1390.0,169.4,67.2,57.4,102.4,14.7,2701.0,126.0,9.4,40.6,14.5,Antrenament
122,MINI,MINI Mini Cooper 3-door (2021-Present),Compact,Gasoline,306.0,320.0,1499.0,152.1,68.0,55.7,98.2,7.5,2546.0,120.0,6.1,43.6,10.6,Antrenament
123,MERCEDES BENZ,2019 Mercedes-Benz CLA Shooting Brake,Compact,Gasoline,190.0,300.0,1991.0,184.6,78.7,56.8,107.4,17.8,3175.0,149.0,7.1,37.9,11.4,Antrenament
124,VOLKSWAGEN,VOLKSWAGEN Golf Variant (2020-Present),Compact,Gasoline,110.0,200.0,999.0,182.4,70.4,59.0,105.1,21.6,2738.0,126.0,10.5,42.8,11.9,Antrenament
125,OPEL,OPEL Astra GTC (2011-Present),Compact,Gasoline,200.0,300.0,1598.0,175.8,72.4,58.3,106.1,13.1,3314.0,143.0,7.9,37.3,14.8,Antrenament
126,OPEL,2020 Opel Corsa,Compact,Gasoline,100.0,205.0,1199.0,159.8,77.2,56.5,99.9,10.9,2403.0,117.0,10.8,54.7,10.8,Antrenament
127,RENAULT,RENAULT Captur (2019-Present),Compact,Gasoline,100.0,160.0,999.0,166.4,70.7,62.0,103.9,18.9,2624.0,107.0,13.3,39.9,12.7,Antrenament
